Название,Что нужно,Объем,Дедлайн/Дата,Контакты,Ссылка,Тип
ЕИС — активные по «поковк*»,Госзакупки РФ (активные),,,,https://zakupki.gov.ru/epz/order/extendedsearch/search.html?searchString=поковк&morphology=on&af=on&sortBy=UPDATE_DATE&recordsPerPage=_100,Тендеры (ЕИС)
ЕИС — активные по «отливк*»,Госзакупки РФ (активные),,,,https://zakupki.gov.ru/epz/order/extendedsearch/search.html?searchString=отливк&morphology=on&af=on&sortBy=UPDATE_DATE&recordsPerPage=_100,Тендеры (ЕИС)
ЕИС — ОКПД2 25.50,Поковки/штамповки,,,,https://zakupki.gov.ru/epz/order/extendedsearch/search.html?okpd2Ids=25.50&af=on&sortBy=UPDATE_DATE&recordsPerPage=_100,Тендеры (ЕИС)
ЕИС — ОКПД2 24.51–24.53,Отливки стали/чугуна/цветных,,,,"https://zakupki.gov.ru/epz/order/extendedsearch/search.html?okpd2Ids=24.51,24.52,24.53&af=on&sortBy=UPDATE_DATE&recordsPerPage=_100",Тендеры (ЕИС)
B2B‑Center — «поковк*»,Коммерческие закупки,,,,https://www.b2b-center.ru/market/?f_keyword=поковк&sort=_LastDate,Коммерч. закупки
B2B‑Center — «отливк*»,Коммерческие закупки,,,,https://www.b2b-center.ru/market/?f_keyword=отливк&sort=_LastDate,Коммерч. закупки
ЕИС — «судостроен*»,Госзакупки по судостроению,,,,https://zakupki.gov.ru/epz/order/extendedsearch/search.html?searchString=судостроен*&morphology=on&af=on&sortBy=UPDATE_DATE&recordsPerPage=_100,Тендеры (ЕИС)
ЕИС — ОКПД2 30.11,Суда и плавучие средства (категория),,,,https://zakupki.gov.ru/epz/order/extendedsearch/search.html?okpd2Ids=30.11&af=on&sortBy=UPDATE_DATE&recordsPerPage=_100,Тендеры (ЕИС)
ЕИС — «судовые детали»,Детали/узлы для судов,,,,https://zakupki.gov.ru/epz/order/extendedsearch/search.html?searchString=судовые%20детали&morphology=on&af=on&sortBy=UPDATE_DATE&recordsPerPage=_100,Тендеры (ЕИС)
ЕИС — «раскатные кольца»,Закупки раскатных колец,,,,https://zakupki.gov.ru/epz/order/extendedsearch/search.html?searchString=раскатные%20кольца&morphology=on&af=on&sortBy=UPDATE_DATE&recordsPerPage=_100,Тендеры (ЕИС)
ЕИС — «кольца поковк*»,Кольца как поковки,,,,https://zakupki.gov.ru/epz/order/extendedsearch/search.html?searchString=кольца%20поковк*&morphology=on&af=on&sortBy=UPDATE_DATE&recordsPerPage=_100,Тендеры (ЕИС)
